# name,attack,health,rarity,abilities,color
Yellow Avenger,8,30,Common,LIGHTNING_CHARGE,#FFFF00
Blue Ice Warden,5,40,Common,FROSTBITE,#00FFF0
Verdant Guardian,6,50,Common,THORN_ARMOR,#00FF00
Volcanic Golem,10,30,Common,LAVA_SURGE,#FF8559
Golden Warrior,8,30,Common,SUNSTRIKE,#FFD700
Silver Sentinel,8,30,Common,SILVER_SHIELD,#646464
Luminous Priest,8,30,Common,SOLAR_FLARE,#FDFD96
Shadow Phantom,8,30,Common,SHADOW_SLASH,#3F104F
Ivory Knight,8,30,Common,WHITE_STRIKE,#FFFFF0
Nightmare Specter,8,30,Common,PHANTOM_STRIKE,#00002E
Emerald Sorceress,8,30,Common,GEM_SHIELD,#50C878
Amethyst Phantom,8,30,Common,SHADOW_DRAIN,#9966CC
Obsidian Wraith,8,30,Common,VOLCANIC_CORE,#3D354B

Citrine Monk,7,40,Uncommon,RADIANT_BALANCE,#FFA500
Blazing Lion,9,45,Uncommon,BURNING_CLAWS,#F13D36
Solar Paladin,10,60,Uncommon,RADIANT_LIGHT,#EEB03A
Zephyr Falcon,8,50,Uncommon,GALE_FORCE,#B0D3EA
Frost Titan,9,70,Uncommon,GLACIAL_SHIELD,#00FFFF
Steel Knight,8,30,Uncommon,METAL_SLUSH,#738598
Grayscale Trickster,8,30,Uncommon,DUALITY,#808080
Void Mage,8,30,Uncommon,MIND_WARP,#2D0043
Tidal Leviathan,8,30,Uncommon,TIDE_TURN,#40607C
Sapphire Mage,8,30,Uncommon,WATER_SHIELD,#2B3DAB
Diamond Titan,8,30,Uncommon,SHIMMERING_RETALIATION,#CBE3F0
Onyx Oracle,8,30,Uncommon,DARK_VISION,#353839
Twilight Witch,8,30,Uncommon,HEX,#4E518B
Wishblossom,8,30,Uncommon,SOOTHING_BLOOM,#FFB7C5

Azure Guardian,8,60,Rare,OCEANS_GRASP,#0000FF
Sunset Golem,5,80,Rare,MOLTEN_CORE,#FB9E3A
Tempest Serpent,10,65,Rare,CYCLONE_FURY,#7A8EA7
Amber Phoenix,9,50,Rare,ASHEN_WINGS,#FFBF00
Forest Spirit,8,30,Rare,PHOTOSYNTHESIS,#285618

Crimson Berserker,12,40,Epic,FLAME_FURY,#B22222
Scarlet Phoenix,10,50,Epic,FIRE_REBIRTH,#FA003F
Pearl Warden,8,30,Epic,PROTECTIVE_GLEAM,#EADCE8
Meadow Warden,8,30,Epic,SPREADING_ROOTS,#79CB91
Lavender Spirit,8,30,Epic,SOOTHING_BLOOM,#D3D3FF

Prism Dragon,15,70,Legendary,RAINBOW_PULSE,#8909B5
Rainbow Phoenix,20,90,Legendary,ETERNAL_FLAME,#137DE0
Ruby Dragon,8,30,Legendary,FIRE_REBIRTH,#9B111E
Blooming Dryad,8,30,Legendary,HEALING_SPROUT,#FEA1B3
Forest Beast,8,30,Legendary,WILD_ROAR,#606C38
